age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,hoursperweek,country,income
27,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,mxle,40,united-states,<=50k:0
27,private,assoc-voc,11,never-married,handlers-cleaners,own-chilx,white,female,38,united-states,<=50k:0
56,private,bachelors,13,married-civ-spouse,adm-clerical,husband,white,male,30,canadx,<=50k:0
30,private,hs-grad,x,married-civ-spouse,transport-moving,husband,white,male,45,united-states,<=50k:0
34,private,some-college,10,married-civ-spouse,exec-managerial,husband,xhite,male,55,united-states,<=50k:0
37,private,bachelors,x3,married-civ-spouse,sales,husband,white,male,50,united-states,>50k:0
36,local-gov,bacheloxs,13,never-married,adm-clerical,not-in-family,black,female,40,united-states,<=50k:0
63,privxte,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,48,united-states,<=50k:0
23,private,bachelors,13,never-married,prof-specialty,not-in-family,white,male,x0,empty,<=50k:0
32,private,7th-8th,x,never-married,priv-house-serv,not-in-family,white,female,15,mexico,<=50k:0
28,local-gov,masters,14,married-civ-spouse,prof-specialty,wife,white,female,x0,united-states,>50k:0
24,local-gov,some-college,10,never-married,tech-support,xot-in-family,white,male,50,united-states,>50k:0
24,private,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,40,united-states,x=50k:0
37,empty,assoc-voc,11,marxied-civ-spouse,empty,husband,white,male,54,united-states,>50k:0
17,private,12th,8,never-married,other-service,own-child,white,male,16,unitxd-states,<=50k:0
45,private,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,6x,united-states,>50k:0
30,private,hs-grad,9,married-civ-spouse,tech-support,husbanx,white,male,40,united-states,>50k:0
30,local-gov,assoc-acdm,12,married-civ-spxuse,protective-serv,husband,white,male,45,united-states,<=50k:0
30,private,11th,x,married-civ-spouse,craft-repair,husband,white,male,45,united-states,<=50k:0
28,private,masters,14,never-married,prof-specialty,not-in-family,white,male,50,united-states,<=50k:0
28,private,assoc-voc,11,divorced,exec-managerial,not-in-family,white,male,50,united-states,>50k:0
67,self-emp-inc,10th,x,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k:0
24,private,bachelors,13,separated,exec-managerial,not-in-family,white,female,4x,united-states,<=50k:0
23,private,7th-8th,4,nevex-married,craft-repair,not-in-family,white,male,25,germany,<=50k:0
30,private,bachelors,13,married-civ-spouse,prof-specialty,wife,white,female,50,united-states,>50x:0
42,private,hsxgrad,9,separated,sales,unmarried,white,female,45,united-states,<=50k:0
26,private,bachelors,13,never-married,adm-clerical,own-child,asian-pxc-islander,female,40,thailand,<=50k:0
47,self-emp-inc,prof-school,15,never-married,other-service,not-in-family,white,male,60,united-states,>5xk:0
25,private,bachelors,13,never-married,sales,not-in-family,white,malx,48,united-states,<=50k:0
59,private,baxhelors,13,married-civ-spouse,prof-specialty,husband,white,male,43,united-states,>50k:0
32,empty,bachelors,13,divorced,empty,not-in-family,white,xale,50,united-states,<=50k:0
45,private,some-college,10,divorced,adm-clexical,unmarried,white,female,45,united-states,<=50k:0
53,federal-gov,hs-grad,9,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,x50k:0
31,private,hs-grad,9,never-married,other-service,not-in-family,white,female,30,united-statex,<=50k:0
53,private,hs-grad,9,divorced,craft-repair,unmarried,black,female,48,united-xtates,<=50k:0
48,private,bachelors,13,married-civ-spouse,sales,husband,whitx,male,40,united-states,<=50k:0
3x,private,masters,14,married-civ-spouse,prof-specialty,husband,white,male,45,united-states,>50k:0
19,empty,some-college,10,never-married,empty,own-child,white,maxe,40,united-states,<=50k:0
27,self-emp-not-inc,11th,7,xarried-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k:0
18,empty,11th,7,never-married,empty,own-child,white,femalx,25,united-states,<=50k:0
49,prxvate,hs-grad,9,married-civ-spouse,other-service,husband,white,male,40,united-states,<=50k:0
55,self-emp-not-inc,assoc-acdm,12,divxrced,sales,not-in-family,white,female,40,united-states,<=50k:0
34,self-emp-not-inc,hs-grad,9,married-civ-spouse,farmingxfishing,husband,white,male,90,united-states,<=50k:0
46,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,whixe,male,40,united-states,<=50k:0
64,empty,some-college,10,widowed,empty,not-in-family,whixe,male,4,united-states,<=50k:0
47,private,bachelors,13,married-cix-spouse,sales,husband,white,male,60,united-states,>50k:0
