age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,hoursperweek,country,income
53,private,some-college,10,married-civ-spouse,machine-op-inspct,xusband,white,male,40,united-states,<=50k
18,empty,11th,x,never-married,empty,own-child,white,male,25,united-states,<=50k
42,privatx,some-college,10,married-civ-spouse,machine-op-inspct,wife,white,female,37,united-states,>50k
49,self-emp-inc,doctorate,16,married-civ-spouse,prof-specialty,husband,black,male,60,united-states,>50k
58,local-gov,bachelxrs,13,married-civ-spouse,prof-specialty,wife,white,female,40,united-states,>50k
42,private,assoc-voc,11,never-married,adm-clerical,not-in-family,white,female,40,united-states,<=50k
35,private,hs-grad,9,never-married,craft-repair,not-in-family,white,male,x0,united-states,<=50k
31,private,assoc-acdm,12,divorced,sales,unmarrxed,white,female,45,united-states,<=50k
36,private,some-college,10,divorced,exec-managerixl,unmarried,black,female,38,united-states,<=50k
44,private,hs-grad,9,separated,adm-clerical,not-in-family,white,female,40,puerto-rico,<=50k
45,private,hs-grad,9,divorced,other-service,not-in-family,white,male,40,united-states,<=50k
35,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,40,,<=50k
53,private,some-college,10,married-civ-spouse,adm-clerical,wife,white,female,40,united-states,>50k
20,private,hs-grad,9,never-married,handlers-cleaners,own-child,white,male,40,united-states,<=50k
31,private,some-college,,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,<=50k
19,private,hs-grad,9,never-married,machine-op-inspct,own-child,white,male,43,united-states,<=50k
50,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,40,united-states,>50k
28,state-gov,some-college,10,divorced,other-service,unmarried,white,male,x0,united-states,<=50k
45,statexgov,prof-school,15,divorced,prof-specialty,unmarried,white,female,43,united-states,<=50k
,private,10th,6,divorced,other-service,unmarried,white,female,45,united-states,<=50k
64,privaxe,11th,7,married-civ-spouse,sales,husband,white,male,40,united-states,<=50k
45,private,bachelors,1x,never-married,exec-managerial,not-in-family,white,female,42,united-states,<=50k
31,state-gov,hs-grad,9,divorced,protective-serv,own-child,other,male,40,united-states,<=50k
58,privaxe,bachelors,13,divorced,craft-repair,own-child,white,female,20,united-states,<=50k
43,self-emp-inc,hs-grad,9,never-married,exec-managerial,not-in-family,black,male,55,united-states,<=50k
28,private,assoc-voc,11,married-civ-spouse,sales,husband,white,male,40,united-states,<=50k
