ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10021,dale medical center,126 hospital ave,ozark,al,36360,dale,3347742601,acute care hospitals,government - hospital district or authority,yxs,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream �c not a razor),100%,94 patients,al_scip-inf-6:0
10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,cullman,2567x72000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,95%,298 patients,al_scip-vte-1:0
10056,st vincents hospital,810 st vincents drive,birmingham,al,35205,jefferson,2059397000,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,239 patients,al_ami-1:0
10010,marshall medical center north,8000 alabama highway 69,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,xes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86%,14 patients,al_scip-card-2:0
10044,marion regional medical center,1256 military street south,hamilton,al,35570,marion,2059216200,acute care hospitals,voluntary non-profit - private,yes,heart attack,axi-2,heart attack patients given aspirin at discharge,67%,3 patients,al_ami-2:0
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,48 patients,al_hf-4:0
10108,prattville baptist hospital,124 s memorial dr,prattville,al,36067,autauga,3343614267,acuxe care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94%,18 patients,al_hf-3:0
10010,marshall medical center north,8000 alabama highway 69,guntersville,al,35976,marshall,2565718000,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,158 patients,al_pn-5c:0
10011,st vincent's east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yxs,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,98%,372 patients,al_hf-2:0
10108,prattville baptist hospital,124 s memorial dr,prattville,al,36067,autauga,3343614267,acute care hospitals,voluntary non-profit - private,yes,pneumoxia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,94%,116 patients,al_pn-2:0
10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,cullman,2567372000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,417 patients,al_scip-inf-2:0
10049,medical center enterprise,400 n edwards street,enterprise,al,36330,coffee,3343470584,acuxe care hospitals,proprietary,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,27 patients,al_scip-card-2:0
10012,dekalb regional medical center,200 med center drive,fort payne,al,35968,de kalb,2568453150,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,100%,37 patients,al_pn-4:0
10044,marion regional medical center,1256 military street south,hamilton,al,35570,marion,2059216200,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,67%,3 patients,nan:0
10032,wexowee hospital,209 north main street,wedowee,al,36278,randolph,2563572111,acute care hospitals,government - local,no,heart failure,hf-1,heart failure patients given discharge instructions,0%,34 patients,al_hf-1:0
10029,east alabama medical center and snf,2000 pepperell parkway,opelika,al,36801,lee,3347493411,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,92%,114 patients,al_pn-2:0
10040,gadsden regional medical center,1007 goodyeax avenue,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,134 patients,al_ami-2:0
10047,georgiana hospital,515 miranda st,georgiana,al,36033,butler,3343762205,acute care hospitals,voluntary non-profit - private,no,pneumonia,px-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,36 patients,al_pn-5c:0
10035,cullman regional medical center,1912 alabama highway 157,cullman,al,350x8,cullman,2567372000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,99%,68 patients,al_scip-card-2:0
10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-x,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream �c not a razor),97%,1062 patients,al_scip-inf-6:0
10024,jackson hospital & clinic inc,1725 pine street,montgomery,al,36106,montgomery,3342938000,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,95%,230 patients,al_pn-3b:0
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,children s asthma care,cac-1,children who received reliever medication while hospitalized for asthma,100%,9 patients,al_cac-1:0
10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,cullman,2567372000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream �c not a razor),100%,598 patientx,al_scip-inf-6:0
10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,cullman,2567372000,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),97%,37 patients,al_hf-3:0
10040,gadsden regional medical center,1007 goodyear avenue,gadsden,al,35903,etowah,2564944000,acute care hospitals,proprietary,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolix dysfunction (lvsd),89%,18 patients,al_ami-3:0
10035,cullman regional medical center,1912 alabama highway 157,cullman,al,35058,cullman,2567372000,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-x,pneumonia patients assessed and given pneumococcal vaccination,100%,155 patients,al_pn-2:0
10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,empty,0 patients,nan:0
10011,st vincent's east,50 medical park east drive,birmingham,al,35235,jefferson,2058383122,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,85%,48 patients,al_ami-8a:0
10022,cherokee medical center,400 northwood dr,centre,al,35960,cherokee,2569275531,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,83%,35 patients,al_hf-1:0
10005,marshall medical center south,2505 u s highway 431 north,boaz,al,35957,marshall,2565938310,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),95%,158 patients,al_scip-inf-3:0
10001,southeast alabama medical center,1108 ross clark circle,dothan,al,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yxs,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,96%,136 patients,al_scip-inf-4:0
10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,2514717110,acute care hospitals,government - state,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,99%,86 patients,al_ami-1:0
10039,huntsville hospital,101 sivley rd,huntsville,al,35801,madison,2562651000,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,93%,511 patients,nan:0
