age,workclass,fnlwgt,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,income,label
90,empty,77053,hs-grad,9,widowed,empty,not-in-family,white,female,0,4356,40,united-states,<=50k,1
82,private,132870,hs-grad,9,widowed,exec-managerial,not-in-family,white,female,0,4356,18,united-states,<=50k,1
66,empty,186061,some-college,10,widowed,empty,unmarried,black,female,0,4356,40,united-states,<=50k,1
54,private,140359,7th-8th,4,divorced,machine-op-inspct,unmarried,white,female,0,3900,40,united-states,<=50k,1
41,private,264663,some-college,10,separated,prof-specialty,own-child,white,female,0,3900,40,united-states,<=50k,1
34,private,216864,hs-grad,9,divorced,other-service,unmarried,white,female,0,3770,45,united-states,<=50k,1
38,private,150601,10th,6,separated,adm-clerical,unmarried,white,male,0,3770,40,united-states,<=50k,1
74,state-gov,88638,doctorate,16,never-married,prof-specialty,other-relative,white,female,0,3683,20,united-states,>50k,1
68,federal-gov,422013,hs-grad,9,divorced,prof-specialty,not-in-family,white,female,0,3683,40,united-states,<=50k,1
41,private,70037,some-college,10,never-married,craft-repair,unmarried,white,male,0,3004,60,empty,>50k,1
45,private,172274,doctorate,16,divorced,prof-specialty,unmarried,black,female,0,3004,35,united-states,>50k,1
38,self-emp-not-inc,164526,prof-school,15,never-married,prof-specialty,not-in-family,white,male,0,2824,45,united-states,>50k,1
52,private,129177,bachelors,13,widowed,other-service,not-in-family,white,female,0,2824,20,united-states,>50k,1
32,private,136204,masters,14,separated,exec-managerial,not-in-family,white,male,0,2824,55,united-states,>50k,1
51,empty,172175,doctorate,16,never-married,empty,not-in-family,white,male,0,2824,40,united-states,>50k,1
46,private,45363,prof-school,15,divorced,prof-specialty,not-in-family,white,male,0,2824,40,united-states,>50k,1
45,private,172822,11th,7,divorced,transport-moving,not-in-family,white,male,0,2824,76,united-states,>50k,1
57,private,317847,masters,14,divorced,exec-managerial,not-in-family,white,male,0,2824,50,united-states,>50k,1
22,private,119592,assoc-acdm,12,never-married,handlers-cleaners,not-in-family,black,male,0,2824,40,empty,>50k,1
34,private,203034,bachelors,13,separated,sales,not-in-family,white,male,0,2824,50,united-states,>50k,1
37,private,188774,bachelors,13,never-married,exec-managerial,not-in-family,white,male,0,2824,40,united-states,>50k,1
29,private,77009,11th,7,separated,sales,not-in-family,white,female,0,2754,42,united-states,<=50k,1
61,private,29059,hs-grad,9,divorced,sales,unmarried,white,female,0,2754,25,united-states,<=50k,1
51,private,153870,some-college,10,married-civ-spouse,transport-moving,husband,white,male,0,2603,40,united-states,<=50k,1
61,empty,135285,hs-grad,9,married-civ-spouse,empty,husband,white,male,0,2603,32,united-states,<=50k,1
21,private,34310,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,0,2603,40,united-states,<=50k,1
33,private,228696,1st-4th,2,married-civ-spouse,craft-repair,not-in-family,white,male,0,2603,32,mexico,<=50k,1
49,private,122066,5th-6th,3,married-civ-spouse,other-service,husband,white,male,0,2603,40,greece,<=50k,1
37,self-emp-inc,107164,10th,6,never-married,transport-moving,not-in-family,white,male,0,2559,50,united-states,>50k,1
38,private,175360,10th,6,never-married,prof-specialty,not-in-family,white,male,0,2559,90,united-states,>50k,1
23,private,44064,some-college,10,separated,other-service,not-in-family,white,male,0,2559,40,united-states,>50k,1
59,self-emp-inc,107287,10th,6,widowed,exec-managerial,unmarried,white,female,0,2559,50,united-states,>50k,1
52,private,198863,prof-school,15,divorced,exec-managerial,not-in-family,white,male,0,2559,60,united-states,>50k,1
