age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,hoursperweek,country,income
90,empty,hs-grad,9,widowed,empty,not-in-family,white,female,40,united-states,<=50k
82,private,hs-grad,9,widowed,exec-managerial,not-in-family,white,female,18,united-states,<=50k
66,empty,some-college,10,widowed,empty,unmarried,black,female,40,united-states,<=50k
54,private,7th-8th,4,divorced,machine-op-inspct,unmarried,white,female,40,united-states,<=50k
41,private,some-college,10,separated,prof-specialty,own-child,white,female,40,united-states,<=50k
34,private,hs-grad,9,divorced,other-service,unmarried,white,female,45,united-states,<=50k
38,private,10th,6,separated,adm-clerical,unmarried,white,male,40,united-states,<=50k
74,state-gov,doctorate,16,never-married,prof-specialty,other-relative,white,female,20,united-states,>50k
68,federal-gov,hs-grad,9,divorced,prof-specialty,not-in-family,white,female,40,united-states,<=50k
41,private,some-college,10,never-married,craft-repair,unmarried,white,male,60,empty,>50k
45,private,doctorate,16,divorced,prof-specialty,unmarried,black,female,35,united-states,>50k
38,self-emp-not-inc,prof-school,15,never-married,prof-specialty,not-in-family,white,male,45,united-states,>50k
52,private,bachelors,13,widowed,other-service,not-in-family,white,female,20,united-states,>50k
32,private,masters,14,separated,exec-managerial,not-in-family,white,male,55,united-states,>50k
51,empty,doctorate,16,never-married,empty,not-in-family,white,male,40,united-states,>50k
46,private,prof-school,15,divorced,prof-specialty,not-in-family,white,male,40,united-states,>50k
45,private,11th,7,divorced,transport-moving,not-in-family,white,male,76,united-states,>50k
57,private,masters,14,divorced,exec-managerial,not-in-family,white,male,50,united-states,>50k
22,private,assoc-acdm,12,never-married,handlers-cleaners,not-in-family,black,male,40,empty,>50k
34,private,bachelors,13,separated,sales,not-in-family,white,male,50,united-states,>50k
37,private,bachelors,13,never-married,exec-managerial,not-in-family,white,male,40,united-states,>50k
29,private,11th,7,separated,sales,not-in-family,white,female,42,united-states,<=50k
61,private,hs-grad,9,divorced,sales,unmarried,white,female,25,united-states,<=50k
51,private,some-college,10,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k
61,empty,hs-grad,9,married-civ-spouse,empty,husband,white,male,32,united-states,<=50k
21,private,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k
33,private,1st-4th,2,married-civ-spouse,craft-repair,not-in-family,white,male,32,mexico,<=50k
49,private,5th-6th,3,married-civ-spouse,other-service,husband,white,male,40,greece,<=50k
37,self-emp-inc,10th,6,never-married,transport-moving,not-in-family,white,male,50,united-states,>50k
38,private,10th,6,never-married,prof-specialty,not-in-family,white,male,90,united-states,>50k
23,private,some-college,10,separated,other-service,not-in-family,white,male,40,united-states,>50k
59,self-emp-inc,10th,6,widowed,exec-managerial,unmarried,white,female,50,united-states,>50k
52,private,prof-school,15,divorced,exec-managerial,not-in-family,white,male,60,united-states,>50k
51,private,bachelors,13,divorced,exec-managerial,not-in-family,white,male,50,united-states,>50k
60,self-emp-not-inc,hs-grad,9,never-married,exec-managerial,not-in-family,black,male,50,united-states,>50k
